#,"Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered"
13,37,12,0,https://www.sociopost.com/taxonomy/term/477422,"HP Printer Support | SocioPost.com",84,12,https://www.123-hp-com-officejetpro.com/,,https://www.123-hp-com-officejetpro.com,–,Nofollow,,"2018-06-16 05:35:43","2018-07-17 07:43:26",,en,0,0,
14,81,12,0,https://mootools.net/forge/profile/Smithma123,"MooTools Forge",33,24,https://www.123-hp-com-officejetpro.com/,,https://www.123-hp-com-officejetpro.com/,,"Dofollow, Content",,"2018-06-11 05:50:33","2018-06-11 05:50:33",,en,0,0,
15,37,12,0,https://www.sociopost.com/node/1093426,"HP Office Jet Pro Printers | SocioPost.com",33,1,https://www.123-hp-com-officejetpro.com/,,"HP Office Jet Pro Printers",,"Dofollow, Content",,"2018-06-17 09:26:36","2018-07-19 07:44:23",,en,0,0,
16,37,11,0,http://www.sociopost.com/published/top30days/Technology,"Published scoops - Technology | SocioPost.com",102,13,https://www.123-hp-com-officejetpro.com/,,https://www.123-hp-com-officejetpro.com,–,Nofollow,,"2018-06-12 23:43:57","2018-06-12 23:43:57",,fr,0,0,
17,37,10,0,http://www.sociopost.com/taxonomy/term/477422,"HP Printer Support | SocioPost.com",84,12,https://www.123-hp-com-officejetpro.com/,,https://www.123-hp-com-officejetpro.com,–,Nofollow,,"2018-06-13 03:25:31","2018-07-20 07:58:20",,en,0,0,
18,58,10,0,http://listography.com/5094320711/to_do/in_my_lifetime,"listography: to do (in my lifetime)",19,1,https://www.123-hp-com-officejetpro.com/,,"Office Jet Pro...",,Dofollow,,"2018-06-02 17:26:40","2018-06-02 17:26:40",,en,0,0,
19,37,9,0,https://www.sociopost.com/node/1093426/function.session-start,"HP Office Jet Pro Printers | SocioPost.com",33,1,https://www.123-hp-com-officejetpro.com/,,"HP Office Jet Pro Printers",,"Dofollow, Content",,"2018-07-17 05:40:19","2018-07-17 05:40:19",,en,0,0,
20,37,9,0,https://www.sociopost.com/node/1093426/,"HP Office Jet Pro Printers | SocioPost.com",33,1,https://www.123-hp-com-officejetpro.com/,,"HP Office Jet Pro Printers",,"Dofollow, Content",,"2018-06-24 22:46:34","2018-06-24 22:46:34",,en,0,0,
21,37,9,0,http://www.sociopost.com/node/1093426,"HP Office Jet Pro Printers | SocioPost.com",33,1,https://www.123-hp-com-officejetpro.com/,,"HP Office Jet Pro Printers",,"Dofollow, Content",,"2018-06-17 10:25:54","2018-06-17 10:25:54",,en,0,0,
22,37,8,0,https://www.sociopost.com/published/top7days,"SocioPost.com | Share, Bookmark and Socialize your posts.",118,11,https://www.123-hp-com-officejetpro.com/,,https://www.123-hp-com-officejetpro.com,–,Nofollow,"Link removed","2018-06-11 00:13:32","2018-06-11 00:13:32","2018-06-19 12:32:14",en,0,0,
23,37,8,0,http://www.sociopost.com/published/top30days?page=1,"Published scoops | SocioPost.com",120,9,https://www.123-hp-com-officejetpro.com/,,https://www.123-hp-com-officejetpro.com,–,Nofollow,"Link removed","2018-06-11 00:35:16","2018-06-11 00:35:16","2018-06-19 08:37:40",en,0,0,
24,37,8,0,http://www.sociopost.com/published/top30days?page=3,"Published scoops | SocioPost.com",112,7,https://www.123-hp-com-officejetpro.com/,,https://www.123-hp-com-officejetpro.com,–,Nofollow,"Link removed","2018-06-12 21:32:49","2018-06-12 21:32:49","2018-06-20 22:13:17",en,0,0,
25,37,8,0,https://www.sociopost.com/published/top30days/Technology,"Published scoops - Technology | SocioPost.com",104,13,https://www.123-hp-com-officejetpro.com/,,https://www.123-hp-com-officejetpro.com,–,Nofollow,"Link removed","2018-06-14 17:56:56","2018-06-14 17:56:56","2018-06-23 03:33:57",en,0,0,
26,0,2,0,http://leey.info/hp-8600-printer-troubleshooting.html,"Hp 8600 Printer Troubleshooting Choice Image - Free Troubleshooting Examples",106,102,https://www.123-hp-com-officejetpro.com/wp-content/uploads/2018/03/123-hp-com-officejetpro-1.jpg,"Hp officejet pro setup install 123hpsetup 123hp 123hpsetup leeyfo",.,,Dofollow,"Link removed","2018-03-18 12:32:16","2018-03-25 14:27:14","2018-04-01 20:25:15",,0,0,
27,0,2,0,http://leey.info/hp-8600-troubleshooting.html,"Hp 8600 Troubleshooting Images - Free Troubleshooting Examples",106,102,https://www.123-hp-com-officejetpro.com/wp-content/uploads/2018/03/123-hp-com-officejetpro-1.jpg,"Hp officejet pro setup install 123hpsetup 123hp 123hpsetup leeyfo",.,,Dofollow,"Link removed","2018-04-01 02:17:02","2018-04-01 02:17:02","2018-04-02 18:34:00",en,0,0,
28,0,2,0,http://leey.info/hp-officejet-6000-troubleshooting.html,"Hp Officejet 6000 Troubleshooting Images - Free Troubleshooting Examples",106,101,https://www.123-hp-com-officejetpro.com/wp-content/uploads/2018/03/123-hp-com-officejetpro-1.jpg,"Hp officejet pro setup install 123hpsetup 123hp 123hpsetup leeyfo",.,,Dofollow,"Link removed","2018-03-24 17:19:54","2018-03-25 20:57:04","2018-04-02 18:52:03",,0,0,
